Giocatore,Squadra,Squadra entro i parametri stabiliti,Posizione,Età,Valore di mercato (Transfermarkt),Scadenza contratto,Partite disputate,Minuti giocati,Goal,xG,Assist,xA,Paese di nascita,Passaporto,Piede,Altezza,Peso,In prestito,Azione difensive riuscite/90,Duelli difensivi/90,"Duelli difensivi vinti, %",Duelli aerei/90,"Duelli aerei vinti, %",Contrasti/90,Possesso riconquistato dopo tackle scivolato,Tiri intercettati/90,Palle intercettate/90,Possesso riconquistato dopo intercetto,Falli/90,Cartellini gialli,Cartellini gialli/90,Cartellini rossi,Cartellini rossi/90,Azioni offensive riuscite/90,Goal/90,Goal (esclusi rigori),Goal esclusi rigori/90,xG/90,Goal di testa,Goal di testa/90,Tiri,Tiri/90,"Tiri in porta, %","Realizzazione, %",Assist/90,Cross/90,"Precisione cross, %",Cross dalla fascia sinistra/90,"Cross precisi da sinistra, %",Cross dalla fascia destra/90,"Cross precisi da destra, %",Cross verso l'area piccola/90,Dribbling/90,"Dribbling riusciti, %",Duelli offensivi/90,"Duelli offensivi vinti, %",Tocchi in area/90,Allunghi/90,Accelerazioni/90,Passaggi ricevuti/90,Lanci lunghi ricevuti/90,Falli subiti/90,Passaggi/90,"Precisione passaggi, %",Passaggi in avanti/90,"Precisione passaggi in avanti, %",Retropassaggi/90,"Precisione retropassaggi, %",Passaggi laterali/90,"Precisione passaggi laterali, %",Passaggi corti / medi /90,"Precisione passaggi corti / medi, %",Passaggi lunghi/90,"Precisione lanci lunghi, %","Lunghezza media passaggi, m","Lunghezza media passaggi lunghi, m",xA/90,Assist/90.1,Second assist/90,Third assist/90,Passaggi smarcanti/90,"Precisione passaggi smarcanti, %",Passaggi chiave/90,Passaggi nella trequarti/90,"Precisione passaggi verso la trequarti, %",Passaggi verso l'area di rigore/90,"Precisione passaggi verso l'area di rigore, %",Passaggi filtranti/90,"Precisione passaggi filtranti, %",Attacco in profondità/90,Cross dalla trequarti/90,Passaggi progressivi/90,"Precisione passaggi progressivi, %",Retropassaggi ricevuti dal portiere/90 
P. Nuamah,Brescia,Brescia,"CF, LWF, LCMF",18,0,,7,172,0,0.14,0,0.0,Italy,"Italy, Ghana",destro,179,70,no,4.19,7.33,50.0,2.62,0.0,0.0,0.0,0.0,0.52,0.88,3.14,0,0.0,0,0.0,0.52,0.0,0,0.0,0.07,0,0.0,3,1.57,0.0,0.0,0.0,1.57,0.0,1.05,0.0,0.52,0.0,0.0,2.62,20.0,12.03,34.78,2.62,2.09,1.05,12.03,0.52,2.09,19.36,70.27,3.66,28.57,4.71,100.0,6.28,75.0,16.74,78.13,1.05,50.0,17.62,6.19,0.0,0.52,0.0,0.52,0.0,0.0,0.0,1.57,33.33,2.62,20.0,0.0,0.0,1.05,0.0,2.09,50.0,0.52
C. Andreoni,Juve Stabia,Juve Stabia,"RB, RWB, RCB",32,200000,2026-06-30,6,360,0,0.0,1,0.73,Italy,Italy,destro,182,74,no,6.25,5.75,47.83,4.75,42.11,0.0,0.0,0.25,3.5,4.72,1.5,2,0.5,0,0.0,1.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.25,3.5,35.71,0.0,0.0,3.25,38.46,0.75,1.25,20.0,2.0,12.5,0.0,0.75,0.25,14.5,2.0,0.0,25.5,74.51,7.5,53.33,4.75,100.0,9.25,75.68,17.25,86.96,4.75,57.89,21.75,35.23,0.18,1.25,0.0,0.0,0.0,0.0,1.0,3.0,58.33,2.75,45.45,0.0,0.0,0.25,1.25,6.0,62.5,1.5
M. Angeli,Cittadella,Cittadella,"LCB, RCB",21,500000,2026-06-30,10,964,0,0.13,0,0.0,Italy,Italy,destro,185,80,no,10.08,8.22,63.64,5.51,72.88,0.37,0.49,0.93,4.48,5.83,1.87,3,0.28,0,0.0,0.28,0.0,0,0.0,0.01,0,0.0,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,1.12,50.0,0.37,0.84,0.0,20.07,0.65,0.84,33.7,84.76,14.38,70.13,1.49,100.0,14.84,96.23,27.82,90.6,5.88,57.14,22.34,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,59.26,0.47,20.0,0.28,66.67,0.19,0.0,6.91,75.68,0.84
S. Angori,Pisa,Pisa,"LB, LWB",21,500000,2027-06-30,13,575,1,0.68,1,2.44,Italy,Italy,sinistro,184,77,no,5.95,6.42,51.22,2.35,66.67,0.16,0.19,0.31,2.5,3.1,0.78,1,0.16,0,0.0,2.97,0.16,1,0.16,0.11,0,0.0,8,1.25,12.5,12.5,0.16,4.07,34.62,3.91,36.0,0.16,0.0,0.31,1.72,81.82,4.23,62.96,1.88,1.41,0.47,17.22,1.1,2.5,25.98,71.69,9.08,67.24,4.23,100.0,7.83,64.0,18.47,83.05,3.76,50.0,22.34,23.7,0.38,2.66,0.0,0.16,0.16,0.0,1.1,2.5,75.0,3.6,60.87,0.31,50.0,0.47,1.57,6.57,73.81,0.47
Matias Antonini,Catanzaro,Catanzaro,"CB, LCB, RCB",26,800000,2027-06-30,7,678,1,0.31,0,0.0,Brazil,"Brazil, Italy",destro,191,80,no,7.83,3.58,88.89,5.18,71.79,0.0,0.0,0.66,4.65,6.6,0.4,2,0.27,0,0.0,0.27,0.13,1,0.13,0.04,0,0.0,3,0.4,66.67,33.333,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.4,66.67,0.4,0.66,0.0,37.57,0.4,0.4,53.63,92.33,16.06,83.47,1.99,100.0,28.41,95.79,50.31,94.72,3.32,56.0,19.82,39.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,68.0,0.27,0.0,0.27,0.0,0.13,0.13,6.11,69.57,1.73
M. Antonucci,Cesena,Cesena,"CF, LWF, AMF",25,1400000,2027-06-30,11,652,0,1.2,1,0.75,Italy,Italy,destro,178,72,si,3.73,3.45,44.0,0.97,28.57,0.14,0.2,0.14,2.07,3.02,1.52,0,0.0,0,0.0,2.21,0.0,0,0.0,0.17,0,0.0,10,1.38,30.0,0.0,0.14,1.24,33.33,0.83,33.33,0.41,33.33,0.14,2.35,58.82,10.35,34.67,3.17,2.35,1.38,19.19,2.48,2.07,27.88,84.16,6.07,68.18,7.59,94.55,7.59,81.82,26.23,87.37,0.41,33.33,13.37,7.49,0.1,1.79,0.0,0.0,0.0,0.0,0.28,2.07,73.33,2.07,66.67,0.0,0.0,1.79,0.41,3.17,65.22,0.28
V. Antov,Cremonese,Cremonese,RCB,24,1500000,2026-06-30,11,888,1,0.68,0,0.0,Bulgaria,Bulgaria,destro,189,81,si,9.12,7.6,62.67,4.86,60.42,0.2,0.34,0.41,4.16,6.91,1.62,2,0.2,0,0.0,0.71,0.1,1,0.1,0.07,0,0.0,4,0.41,50.0,25.0,0.0,0.61,33.33,0.0,0.0,0.61,33.33,0.1,0.3,100.0,2.33,56.52,0.71,1.72,0.1,41.25,1.52,0.51,55.14,88.24,26.86,83.02,4.97,97.96,16.52,93.25,50.98,90.85,3.55,60.0,19.1,33.48,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.95,79.63,1.22,33.33,0.0,0.0,0.1,0.1,10.74,76.42,1.42
M. Aramu,Mantova,Mantova,"AMF, LWF",29,1300000,2026-06-30,12,694,0,0.59,0,0.94,Italy,Italy,sinistro,180,67,si,4.02,3.89,50.0,1.43,36.36,0.26,0.49,0.0,1.82,3.44,2.07,3,0.39,0,0.0,1.56,0.0,0,0.0,0.08,0,0.0,12,1.56,8.33,0.0,0.0,1.04,37.5,0.91,28.57,0.13,100.0,0.13,1.69,53.85,9.6,54.05,0.39,0.78,0.26,21.01,0.65,4.41,26.33,85.22,7.26,73.21,7.52,93.1,8.3,85.94,22.31,90.12,2.98,65.22,18.38,31.24,0.12,0.91,0.0,0.0,0.26,50.0,0.26,3.5,74.07,1.95,46.67,0.65,60.0,0.52,0.39,4.02,74.19,0.26
A. Arena,Pisa,Pisa,"AMF, RWF, RW",24,900000,2027-06-30,6,380,2,1.66,1,0.85,Italy,Italy,sinistro,171,67,no,4.26,3.55,53.33,0.71,33.33,0.47,0.71,0.0,1.89,2.82,0.71,0,0.0,0,0.0,5.45,0.47,1,0.24,0.39,0,0.0,8,1.89,37.5,25.0,0.24,2.61,36.36,0.47,0.0,1.89,37.5,0.0,4.03,64.71,8.76,45.95,1.89,3.79,1.89,23.68,1.66,2.61,33.16,74.29,10.42,70.45,4.03,82.35,10.66,82.22,27.0,80.7,3.55,53.33,18.35,23.52,0.2,1.42,0.0,0.0,1.18,100.0,0.71,4.5,73.68,4.97,57.14,0.95,100.0,2.37,0.71,9.0,76.32,0.0
T. Arrigoni,Südtirol,Südtirol,RCMF,30,300000,,13,1183,1,0.3,0,0.57,Italy,Italy,destro,171,69,no,7.0,4.18,65.45,1.22,62.5,0.23,0.29,0.53,4.03,5.18,0.61,0,0.0,0,0.0,0.38,0.08,1,0.08,0.02,0,0.0,13,0.99,23.08,7.692,0.0,0.68,22.22,0.08,100.0,0.61,12.5,0.15,0.08,0.0,1.29,41.18,0.15,0.38,0.0,38.27,0.15,0.76,51.12,89.58,12.7,73.65,10.12,97.74,20.92,94.91,45.87,93.53,4.56,60.0,18.15,34.68,0.04,0.91,0.0,0.0,0.0,0.0,0.08,8.06,73.58,1.52,50.0,0.61,25.0,0.46,0.15,6.39,78.57,1.07
G. Artistico,Juve Stabia,Juve Stabia,"CF, LWF, RWF",22,325000,2027-06-30,11,251,2,1.33,0,0.01,Italy,Italy,destro,177,68,si,5.02,3.94,63.64,8.96,24.0,0.0,0.0,0.36,2.51,4.2,3.23,1,0.36,0,0.0,2.51,0.72,2,0.72,0.48,0,0.0,7,2.51,57.14,28.571,0.0,1.08,0.0,0.0,0.0,0.72,0.0,0.0,2.87,37.5,15.42,27.91,6.45,0.36,0.0,7.17,3.59,3.59,12.91,47.22,1.79,60.0,3.94,63.64,2.51,42.86,11.83,51.52,0.0,0.0,15.92,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.72,0.0,0.0,0.0,0.36,0.0,1.43,0.0,0.0
G. Aurelio,Spezia,Spezia,"LWB, LB",24,700000,2027-06-30,5,277,1,0.75,0,0.01,Italy,Italy,sinistro,186,80,si,6.17,5.52,58.82,2.6,50.0,0.0,0.0,0.0,2.92,4.09,0.32,0,0.0,0,0.0,1.62,0.32,1,0.32,0.24,0,0.0,1,0.32,100.0,100.0,0.0,2.27,28.57,2.27,28.57,0.0,0.0,0.0,1.62,40.0,3.25,20.0,1.62,0.97,0.97,10.72,0.97,0.0,17.87,56.36,6.5,45.0,2.6,100.0,3.9,33.33,13.97,60.47,1.62,60.0,19.22,16.23,0.0,0.32,0.0,0.0,0.0,0.0,0.0,2.27,42.86,0.97,0.0,0.0,0.0,0.0,0.97,3.9,41.67,0.0
M. Baldi,Juve Stabia,Juve Stabia,"LB, RCB, RWB",22,175000,2025-06-30,7,201,0,0.02,0,0.0,Italy,Italy,destro,193,81,no,9.85,8.06,66.67,0.9,50.0,0.0,0.0,0.45,4.48,6.82,1.79,3,1.34,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,1,0.45,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.45,0.45,100.0,0.45,100.0,0.9,0.9,0.0,21.94,1.34,0.0,31.34,80.0,10.75,66.67,3.58,100.0,12.09,92.59,27.76,88.71,2.69,16.67,18.52,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,71.43,1.34,66.67,0.0,0.0,1.34,0.0,8.96,65.0,2.24
F. Bandinelli,Spezia,Spezia,LCMF,29,1500000,2027-06-30,9,590,0,0.76,0,1.07,Italy,Italy,sinistro,180,73,no,4.88,5.8,39.47,1.53,30.0,0.15,0.2,0.46,2.44,3.2,2.44,2,0.31,0,0.0,3.05,0.0,0,0.0,0.12,0,0.0,10,1.53,30.0,0.0,0.0,4.42,24.14,4.42,24.14,0.0,0.0,0.61,2.9,52.63,9.31,49.18,1.68,2.75,0.31,19.98,1.07,2.59,31.27,72.68,9.76,60.94,6.56,97.67,10.07,66.67,22.12,88.28,4.88,43.75,22.47,35.58,0.16,1.07,0.0,0.0,0.0,0.0,0.61,5.49,52.78,4.27,39.29,0.61,25.0,0.46,1.07,5.34,82.86,0.61
C. Bani,Mantova,Mantova,"LB, LCB",25,200000,2026-06-30,10,856,0,0.24,0,0.07,Italy,Italy,destro,187,79,no,6.94,5.05,58.33,2.1,55.0,0.53,1.01,0.11,3.47,6.69,0.74,2,0.21,0,0.0,1.16,0.0,0,0.0,0.03,0,0.0,3,0.32,33.33,0.0,0.0,0.84,62.5,0.84,62.5,0.0,0.0,0.11,0.84,50.0,2.94,57.14,0.32,0.63,0.0,50.89,3.15,1.79,61.51,89.57,30.81,84.64,6.62,100.0,15.98,95.39,55.09,92.56,5.78,63.64,18.55,36.65,0.01,0.11,0.0,0.0,0.11,100.0,0.0,5.78,72.73,1.16,54.55,0.32,33.33,0.11,0.32,10.72,73.53,0.74
R. Baniya,Palermo,Palermo,RCB,25,2500000,2027-06-30,5,370,1,0.23,0,0.0,Italy,"Italy, Türkiye",destro,194,88,si,8.51,7.05,75.86,5.35,81.82,0.0,0.0,0.97,3.16,4.48,0.49,0,0.0,0,0.0,0.24,0.24,1,0.24,0.06,1,0.24,1,0.24,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.73,0.73,0.0,35.27,0.0,0.24,50.84,92.34,15.57,81.25,2.92,91.67,27.73,99.12,48.41,94.47,2.43,50.0,18.38,38.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,64.71,0.49,0.0,0.24,0.0,0.24,0.0,4.14,64.71,2.19
T. Barbieri,Cremonese,Cremonese,"RB, RCB, RW",22,2000000,2028-06-30,11,609,1,0.71,0,1.47,Italy,Italy,destro,181,73,no,8.28,7.98,55.56,2.36,56.25,0.89,1.29,0.15,2.96,4.29,2.07,2,0.3,0,0.0,2.81,0.15,1,0.15,0.1,0,0.0,7,1.03,28.57,14.286,0.0,3.84,46.15,0.89,33.33,2.96,50.0,0.44,1.63,45.45,4.58,48.39,0.89,1.92,0.44,31.77,2.36,1.18,38.28,84.94,14.33,82.47,5.02,91.18,13.15,87.64,31.18,93.36,3.4,52.17,20.33,25.45,0.22,0.89,0.0,0.0,0.0,0.0,0.44,7.24,81.63,3.1,47.62,0.0,0.0,0.15,1.48,7.83,81.13,0.44
F. Bardi,Reggiana,Reggiana,GK,32,300000,2025-06-30,13,1267,0,0.0,0,0.0,Italy,Italy,destro,188,80,no,0.78,0.07,100.0,0.36,80.0,0.0,0.0,0.0,0.71,0.89,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.21,0.21,16.84,89.87,8.17,82.61,0.0,0.0,7.46,96.19,11.22,99.37,5.61,70.89,28.87,46.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,71.43,0.0,0.0,0.14,50.0,0.0,0.0,4.4,80.65,0.0
S. Bastoni,Cesena,Cesena,LCMF,28,1500000,2026-06-30,13,1128,2,1.56,0,1.37,Italy,Italy,sinistro,181,74,no,6.78,5.43,64.71,1.91,33.33,0.56,0.73,0.08,2.71,3.55,0.8,3,0.24,0,0.0,2.39,0.16,2,0.16,0.12,0,0.0,24,1.91,33.33,8.333,0.0,1.68,42.86,1.28,37.5,0.32,50.0,0.24,1.84,56.52,5.9,39.19,1.2,1.04,0.08,29.92,0.56,0.72,38.7,82.47,13.32,72.46,5.82,91.78,12.61,86.71,32.95,88.14,4.15,51.92,18.22,29.89,0.11,1.28,0.0,0.16,0.08,0.0,0.4,5.03,80.95,2.95,51.35,0.64,25.0,0.96,0.72,6.78,65.88,0.24
T. Battistella,Modena,Modena,"RCMF, RB",23,500000,2026-06-30,12,706,0,0.34,1,0.74,Italy,Italy,destro,172,65,no,10.07,8.29,69.23,3.82,36.67,1.15,1.42,0.13,3.19,3.95,1.78,2,0.25,0,0.0,2.68,0.0,0,0.0,0.04,0,0.0,8,1.02,0.0,0.0,0.13,2.04,25.0,0.64,40.0,1.27,20.0,0.13,3.57,57.14,10.96,43.02,1.02,1.66,0.76,13.26,0.25,2.8,20.52,71.43,6.37,54.0,3.44,88.89,7.14,78.57,15.81,82.26,2.68,42.86,23.61,31.1,0.09,0.76,0.0,0.0,0.25,50.0,0.25,3.82,70.0,1.91,40.0,0.25,50.0,0.51,0.89,4.72,62.16,0.13
T. Begić,Frosinone,Frosinone,"LW, RWF, RB",21,900000,2027-06-30,5,147,0,0.04,0,0.0,Slovenia,Slovenia,destro,175,65,si,4.29,4.29,71.43,1.22,50.0,0.61,1.0,0.0,0.61,1.0,1.22,1,0.61,0,0.0,4.9,0.0,0,0.0,0.03,0,0.0,2,1.22,50.0,0.0,0.0,5.51,0.0,3.67,0.0,1.84,0.0,0.61,8.57,50.0,14.69,29.17,4.29,5.51,0.0,18.98,0.61,0.61,26.94,70.45,7.35,83.33,8.57,92.86,6.73,54.55,20.2,90.91,1.22,50.0,23.9,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,75.0,3.06,0.0,0.0,0.0,1.22,0.0,2.45,100.0,0.0
A. Bellemo,Sampdoria,Sampdoria,LCMF,29,2000000,2026-06-30,11,763,0,0.23,1,0.3,Italy,Italy,destro,184,72,si,6.96,6.61,53.57,1.77,46.67,0.59,0.8,0.35,2.83,3.85,1.53,2,0.24,0,0.0,0.35,0.0,0,0.0,0.03,0,0.0,3,0.35,0.0,0.0,0.12,0.71,33.33,0.59,40.0,0.12,0.0,0.12,0.24,50.0,3.3,28.57,1.18,0.59,0.12,15.92,0.59,1.18,24.65,79.43,6.25,56.6,5.66,95.83,8.61,86.3,21.11,86.59,2.83,37.5,17.44,23.94,0.04,0.59,0.0,0.0,0.0,0.0,0.24,3.42,58.62,0.94,62.5,0.12,0.0,0.24,0.35,3.89,51.52,0.12
